# Alert SMARTS patterns selected to be used as filters
Alert Name,Alert SMARTS
ALERT_PAINS_c_ene_rhod_H,"n12c(nc(=O)c([C;H2,H3])n1)sc(=[CH]cc)c2=O"
ALERT_PAINS_c_ene_rhod_I,"N2([C;H2,H3])C(=S)[NH]C(=[CH]c1cc(Br)ccc1)C2=O"
ALERT_PAINS_c_ene_rhod_J,"[C;H2,H3]N2C(=[S,N])[!C]C(=C1[CH]=[CH]ccN1[C;H2,H3])C2=O"
ALERT_PAINS_c_ene_six_het_B,c1ccccc1C(=O)[CH]=c3c(=O)[nH]c(=O)c(=[CH]c2ccccc2)[nH]3
ALERT_PAINS_c_ene_six_het_C,"O=C1cc[CH2]NC1=[C;H,H2]"
ALERT_PAINS_c_furan_A,"c1(oc([C;H2,H3])[cH][cH]1)[CH]([OH])C#C[CX4]"
ALERT_PAINS_c_het_55_A,"ccn2nc1[CH2][S;X2][CH2]c1c2[NH]C(=O)[CH]=[C;H,H2]"
ALERT_PAINS_c_het_565_indole,"[cH]1[cH]n([C;H2,H3])c3c1c2[cH][cH]n(c2c(c3O[C;H2,H3])O[C;H2,H3])[C;H2,H3]"
ALERT_PAINS_c_het_5_ene,"C2(=O)C(=C([C;H2,H3])[NH][CH2][CH2][C;H2,H3])N=C(c1ccccc1)O2"
ALERT_PAINS_c_het_5_inium,n4(c1ccccc1)[cH][n+](c2ccccc2)c(=Nc3ccccc3)n4
ALERT_PAINS_c_het_65_Da,n1nc(c2-c(c1C)ccc2)C
ALERT_PAINS_c_het_65_F,"s1c2c(c([C;H2,H3])c1[C;H2,H3])c(ncn2)NN=Cc3ccco3"
ALERT_PAINS_c_het_65_G,C2([#6])[CH2]C(=O)n1nc([NH2])c([NH2])c1N=2
ALERT_PAINS_c_het_65_H,c2(c1n(c(ccn1)=O)nc2c3nccc3)C#N
ALERT_PAINS_c_het_65_K,n2nnnc1cccc-12
ALERT_PAINS_c_het_65_pyridone_A,"c2([CH2][C;H2,H3])c([C;H2,H3])c1c(=[X1])n([C;H,H2][$(C(=O)O),$(cc)])[cH,$(cS[C;H2,H3])]nc1[a;X2]2"
ALERT_PAINS_c_het_6666_A,c1ccc2c(c1)nc3c(n2)ccc4c3cccc4
ALERT_PAINS_c_het_666_A,n1c3c(c(=N)c2ccccc12)cccc3
ALERT_PAINS_c_het_666_C,"c23cc1ccccc1cc2n([C;H2,H3])c(=O)c(cc[NH][C;H2,H3])n3"
ALERT_PAINS_c_het_66_C,c12acccc1nc([CH]=C([OH])[#6])c([CH]=C([OH])[#6])n2
ALERT_PAINS_c_het_66_D,c1ccc2c(c1)nc(c(n2)[CH2]C(=O)cc)[CH2]C(=O)cc
ALERT_PAINS_c_het_66_E,c1ccc2c(c1)nc(c(n2)c3ccccc3)c4c(cccc4)[OH]
ALERT_PAINS_c_het_66_anisole,"[C;H2,H3]Oc1[cH][cH][cH][cH]c1[NH]c3c2c(O[C;H2,H3])ccc(O[C;H2,H3])c2ncc3"
ALERT_PAINS_c_het_6_imidate_A,"N=c1[nH]c([N;H,H2,H3])c([N;H,H2])nn1"
ALERT_PAINS_c_het_6_imidate_B,[NH](c1[cH][cH][cH][cH]c1[OH])c2nnc(=N)oc2[NH2]
ALERT_PAINS_c_het_76_A,s1[cH][cH][cH]c1C4[NH]N=C(c2ccncc2)c3c(cccc3)N=4
ALERT_PAINS_c_het_pyraz_misc,C([F])([F])C(=O)[NH]c1[cH]n([CH2][CH2]O[CH2]cc)n[cH]1
ALERT_PAINS_c_het_pyridiniums_B,c12cccca1c([!#1])a[n+](~cc)a2
ALERT_PAINS_c_het_pyridiniums_C,[#6]13~[#7](cc)~[#6]~[#6]~[#6]~[#6]~1~[#6]2~[#7]~[#6]~[#6]~[#6]~[#7+]~2~[#7]~3
ALERT_PAINS_c_het_thio_5_B,C1(C=O)(cc)[SX2]C=N[NH]1
ALERT_PAINS_c_het_thio_5_C,"S=c2[nH]nc(c1[cH][cH]c(O[C;H2,H3])[cH][cH]1)o2"
ALERT_PAINS_c_het_thio_5_imine_A,N=C1SC(=N)N=C1
ALERT_PAINS_c_het_thio_5_imine_B,"N1([C;H2,H3])C(=S)N(cc)C(=Ncc)C1=Ncc"
ALERT_PAINS_c_het_thio_5_imine_C,S1C(=N[NH])SC(=Ncc)C1=Ncc
ALERT_PAINS_c_het_thio_656c,c1ccccc1C4=Nn3c2ccccc2[n+]c3S[CX4]4
ALERT_PAINS_c_het_thio_65_C,"n2c1ccccc1n([C;H2,H3])c2S[CH2]C(=O)[NH]N=[CH][CH]=[C;H,H2]"
ALERT_PAINS_c_het_thio_66_A,c12ccccc1[CH2][CH2]N=C2[SX2][CH2]C(=O)c3ccccc3
ALERT_PAINS_c_het_thio_676_A,"c1ccc3c(c1)Sc2[cH][cH][cH,$(cO),$(c[SX2]),$(c[CX4]),$(c[NH2,$([NH][CX4]),$([N]([CX4])[CX4])])]([cH]c2C(C3)[NH2,$([NH][CX4]),$([N]([CX4])[CX4])])"
ALERT_PAINS_c_het_thio_67_A,"[C;H2,H3][SX2]c2nc1OC=Nccc1nn2"
ALERT_PAINS_c_het_thio_6_furan,"[C;H2,H3][SX2]c3nc(c1o[cH][cH][cH]1)c(c2o[cH][cH][cH]2)nn3"
ALERT_PAINS_c_het_thio_N_55,"[C;H,H2,H3]C3=NN(c1ccccc1)S2[!C]*=CC=23"
ALERT_PAINS_c_het_thio_N_5A,N=c1ncns1
ALERT_PAINS_c_het_thio_N_5C,cc[NH]C(=O)c1nnsc1[NH]cc
ALERT_PAINS_c_het_thio_N_65A,n2sc1CNccc1c2=S
ALERT_PAINS_c_het_thio_urea_ene,C1(SC(=[CH]cc)N(cc)N=1)C=O
ALERT_PAINS_c_hydroquin_A,c1([OH])ccc([OH])c(c1)C(=!@C[#7])C=O
ALERT_PAINS_c_hzone_acid_A,"c14[cH][cH]c(O[C;H2,H3])[cH]c1C(=N[NH]c2[cH][cH]c(C(=O)[OH])[cH][cH]2)c3[cH]c(O[C;H2,H3])[cH][cH]c34"
ALERT_PAINS_c_hzone_acid_D,[OH]C(=O)c1ccc(cc1)NN=[CH]c2ac([cH][cH]2)c3ccccc3
ALERT_PAINS_c_hzone_acyl_misc_A,"c1(o[cH,$(c[C;H2,H3])][cH][cH]1)C(=O)[NH]N=[CH,$(C[C;H2,H3])]c3cc(***c2occc2)ccc3"
ALERT_PAINS_c_hzone_anthran_Z,c1cccc2c1cc4c(c2C=N[NH]c3ccccc3)cccc4
ALERT_PAINS_c_hzone_furan_A,"c1(o[cH,$(c[C;H2,H3])][cH][cH]1)[CH,$(C[C;H2,H3])]=N[NH]c2nccs2"
ALERT_PAINS_c_hzone_furan_B,"c1(o[cH,$(c[C;H2,H3])][cH][cH]1)[CH,$(C[C;H2,H3])]=N[NH]c2ccncc2"
ALERT_PAINS_c_hzone_furan_C,c1ccccc1N(c2ccccc2)N=[CH]c3ac([cH][cH]3)c4cc(C(=O)[OH])ccc4
ALERT_PAINS_c_hzone_furan_E,[OH]C(=O)c1cc(ccc1)cacC=N[NH]C(=O)[CH2]O
ALERT_PAINS_c_hzone_phenone,"C(c1[cH]c[cH,$(c[CX4])][cH][cH]1)(c2[cH][cH][cH,$(c[Cl])][cH][cH]2)=[$(NO[CH2][CH2][CH2]N([C;H2,H3])[C;H2,H3]),$(NO[CH2][CH2]N([C;H2,H3])[C;H2,H3]),$(N[NH]C(=[NH])[NH2]),$([CH][#7])]"
ALERT_PAINS_c_hzone_thiophene_A,"c12[cH][cH][cH][cH]c1[!#6][cH,$(c[OH]),$(c[C;H2,H3])]c2[CH]=N[NH][$(c3nc[cH]s3),$(c[cH][cH]),$(cncncn),$(cnnnn)]"
ALERT_PAINS_c_hzone_thiophene_B,"c1(s[cH][cH][cH,$(c[C;H2,H3])]1)[CH]=N[NH]c2ccccc2"
ALERT_PAINS_c_imidazole_C,[CH]4(n1[cH]n[cH][cH]1)c2[cH]c([Br])[cH][cH]c2[CH2][CH2]c3[cH][cH][cH][cH]c34
ALERT_PAINS_c_imidazole_amino_A,n3c(c1ccccc1)c(c2ccccc2)n(N=!@C)c3[NH2]
ALERT_PAINS_c_imine_ene_A,cc[CH]=[CH][CH]=NN([CX4])[CX4]
ALERT_PAINS_c_imine_ene_one_A,C1(C=Nc2c(N1)cccc2)=[CH]C=O
ALERT_PAINS_c_imine_ene_one_B,c1cC(=O)C=C1N=[CH]N([CX4])[CX4]
ALERT_PAINS_c_imine_imine_A,c1ccc2c(c1)C(C=N2)=[N;!R]
ALERT_PAINS_c_imine_imine_B,cc[CH]=[CH][CH]=NN=C
ALERT_PAINS_c_imine_imine_C,"N([C;H2,H3])([C;H2,H3])[CH]=NC([C;H2,H3])=NN([C;H2,H3])cc"
ALERT_PAINS_c_imine_naphthol_A,"c12c([cH][cH][cH][cH]1)c(c([cH][cH]2)C(=Ncc)[C;H2,H3])[OH]"
ALERT_PAINS_c_imine_one_B,"[NH](c1ccccc1)N=C(C(=O)[C;H2,H3])[NH][NH,NH2,NH3,$(cc)]"
ALERT_PAINS_c_imine_one_fives_B,[N;!R]=C2C(=O)c1c(cccc1)S2
ALERT_PAINS_c_imine_one_fives_C,cc[N;!R]=C2C(=[!C])c1c(cccc1)N2
ALERT_PAINS_c_imine_one_fives_D,C1(=[!C])C(N=CS1)=O
ALERT_PAINS_c_imine_phenol_A,C=[N;!R]c1c([OH])cccc1
ALERT_PAINS_c_keto_keto_beta_B,[CX4]1C(=O)NNC1=O
ALERT_PAINS_c_keto_keto_beta_D,O=CC=[CH][OH]
ALERT_PAINS_c_keto_keto_beta_F,"[C;H2,H3]C([OH])=C(C(=O)[C;H2,H3])[CH]C#C"
ALERT_PAINS_c_keto_keto_beta_zone,"cc[NH]N=C([C;H2,H3])[CH2]C([C;H2,H3])=N[NH]cc"
ALERT_PAINS_c_keto_phenone_A,c1cccc2c1C(c3c2nacc3)=O
ALERT_PAINS_c_keto_phenone_B,c1cccc2c1C(C3C2=N*=CC3)=O
ALERT_PAINS_c_keto_phenone_C,c1(cc3c(c2ccccc12)c4c(C3=O)cccc4)[OH]
ALERT_PAINS_c_keto_phenone_zone_A,c1c(cccc1)C(=O)[NH]N=C3c2c(cccc2)c4c3cccc4
ALERT_PAINS_c_mannich_B,"c12c(O[CH2]N(ccO[C;H2,H3])[CH2]1)[cH]cc[cH]2"
ALERT_PAINS_c_misc_anilide_A,"c1([NH]C(=O)[CH2][CH2]cc)[cH][cH]c([C;H2,H3])c([NH]C(=O)[CH2][CH2]cc)[cH]1"
ALERT_PAINS_c_misc_anisole_C,"[N;H,H2](c1[cH][cH]c(O[CH3])c(O[C;H,H2,H3])[cH]1)C(=O)[NH][CH2][CH2][CH2]N([CH3])cc"
ALERT_PAINS_c_misc_naphthimidazole,c1c3c(cc2c1cccc2)nc(n3)COC(=O)c4cc(cc(c4)[NH2])[NH2]
ALERT_PAINS_c_misc_pyrrole_benz,"n2(c1[cH][cH][cH][cH]c1C(=O)[NH][CH]([C;H2,H3])[CH2]Occ)[cH][cH][cH][cH]2"
ALERT_PAINS_c_misc_stilbene,C1(cc)[CH2][CH](C(=O)[#6])[CH](C(=O)[OH])[CH2]C(cc)=1
ALERT_PAINS_c_misc_trityl_A,C(cc)(cc)(cc)SccC(=O)[OH]
ALERT_PAINS_c_misc_urea_A,"c1(C([CX4])([CX4])[NH]C(=O)N([CH2][C;H2,H3])[CH2][CH2][C;H,H2][CH2]cc)[cH][cH][cH]c(C(=[CH2])[C;H2,H3])[cH]1"
ALERT_PAINS_c_naphth_ene_one_A,"c1cc3c2c(c1)cccc2C(=CC3=O)O[C;H2,H3]"
ALERT_PAINS_c_naphth_ene_one_B,c13ccc(c2c1c(ccc2)C(C=C3C([F])([F])[F])=O)[#7]
ALERT_PAINS_c_naphth_ene_one_C,c1(ccc3c2c(cccc12)C(C=C3)=N)[#7]
ALERT_PAINS_c_phenol_sulfite_A,C(c1ccc([OH])cc1)(c2ccc([OH])cc2)OS(=O)=O
ALERT_PAINS_c_pyrrole_H,n12cccc2C=N([#6])CC1
ALERT_PAINS_c_pyrrole_I,"n2([C;H2,H3])c1c(ccC(=O)1)cc2[C;H2,H3]"
ALERT_PAINS_c_pyrrole_J,"c1(c2c(c(n1C(O)=O)[C;H2,H3])S[CH2]S2)[C;H2,H3]"
ALERT_PAINS_c_pyrrole_M,n2(c1ccccc1)[cH][cH][cH]c2C=N[OH]
ALERT_PAINS_c_quinone_B,c1ccc2c(c1)c4c3c(C2=O)cccc3no4
ALERT_PAINS_c_quinone_C,O=C2c1ccccc1c3c([OH])c(=O)nc4cccc2c34
ALERT_PAINS_c_quinone_D,"C1([#6]:,=[#6][#6]:,=[#6]C1=[!C])=[!C]"
ALERT_PAINS_c_rhod_sat_C,N2(c1ccccc1)C(=NC=O)S[CH2]C2=O
ALERT_PAINS_c_rhod_sat_E,N4(c1ccccc1)C(=O)S[CH]([NH]c3c2ccccc2ccc3)C4=O
ALERT_PAINS_c_rhod_sat_F,N2(c1ccccc1)C(=O)S[CH2]C2=S
ALERT_PAINS_c_rhod_sat_imine_A,N3(C(=O)c1ccccc1)C(=Nc2ccccc2)S[CH2]C3=O
ALERT_PAINS_c_steroid_A,O=C4CCC3C2C(=O)CC1CCCC1C2CCC3=C4
ALERT_PAINS_c_styrene_A,C2Cc1ccccc1C(c3c2cccc3)=C[#6]
ALERT_PAINS_c_styrene_B,"c1ccc3c(c1)[SX2,CX4]c2cc[cH,$(c[Cl]),$(c[CX4])]cc2C3=C[#6]"
ALERT_PAINS_c_styrene_C,c1ccc2c(c1)C(c3c(SC2)scc3)=C
ALERT_PAINS_c_styrene_anil_A,c1ccc2c(c1)C(c3c2ccc(c3)[NH2])=[CH][#6]
ALERT_PAINS_c_sulfonamide_G,"[CH3]c2nc([NH]S(c1[cH][cH]c([cH][cH]1)O[CH2][CH2][C;H2,H3])(=O)=O)[cH][cH][cH]2"
ALERT_PAINS_c_sulfonamide_H,c1([cH][cH]c([cH][cH]1)[NH2])S(=O)(=O)[NH]c2[cH][cH][cH]nn2
ALERT_PAINS_c_tert_butyl_A,"[CH3]C([CH3])([CH3])c1[cH]c(C([CH3])([CH3])[CH3])c(O[C;H,H2]N)c[cH]1"
ALERT_PAINS_c_tetrazole_hzide,a1aaa(aa1)[CH]=[CH]C([NH][NH]c2n(nnn2)[#6])=O
ALERT_PAINS_c_thiaz_ene_C,"c1([F,Cl,Br,I,$([n+](c)c)])c(-!@C=N)sc(n1)=O"
ALERT_PAINS_c_thiaz_ene_E,"c1(S[C;R])c([CH]([#6])[#6])sc([nH,$(n[C;H2,H3])]1)=O"
ALERT_PAINS_c_thiazole_amine_D,"s2c([NH]c1c([CH2,CH3,$(cc)])cccc1)[n+]([C;H2,H3])c([#6])[cH]2"
ALERT_PAINS_c_thiazole_amine_G,c1nc(sc1)NNS(=O)=O
ALERT_PAINS_c_thiazole_amine_H,"c1c(cc(C(=O)[OH])cc1)[NH]c2nc([cH]s2)c3ccc([CH]([C;H,H2,H3])[C;H,H2,H3])cc3"
ALERT_PAINS_c_thiazole_amine_I,"[C;H2,H3][NH]C=N[NH]c1nc(cc)[cH]s1"
ALERT_PAINS_c_thiazole_amine_J,O=S(=O)(cc)[NH][NH]c1nc(cs1)cc
ALERT_PAINS_c_thiazole_amine_K,n1c3c(cc2c1nc(s2)[#7])sc(n3)[#7]
ALERT_PAINS_c_thiazole_amine_L,s2ccc(c1csc([NH2])n1)[cH]2
ALERT_PAINS_c_thiazole_amine_M,"c2([NH]cc[C;H2,H3])nc(c1ccncc1)[cH]s2"
ALERT_PAINS_c_thiazole_amine_N,"[C;H2,H3]Oc1[cH][cH]c(O[C;H2,H3])[cH]c1[NH]c3scc(c2ccc(O[C;H2,H3])cc2)n3"
ALERT_PAINS_c_thio_aldehyd_A,[#6][CH](=S)
ALERT_PAINS_c_thio_amide_A,[cH]1coc([cH]1)C(=S)N2[CH2][CH2]*[CH2][CH2]2
ALERT_PAINS_c_thio_amide_B,[CX4][NH]C(cc)=[CH]C(=S)[NH]c1ccccc1
ALERT_PAINS_c_thio_amide_C,"[CH](c1ccccc1)(c2ccccc2)C(=S)[N;H,H2]"
ALERT_PAINS_c_thio_amide_D,"c(N([C;H,H2,H3])[C;H,H2,H3])c[NH]C(=S)[C;H,H2,H3]"
ALERT_PAINS_c_thio_amide_E,"c1cccnc1C(=S)[NH]c2ccccc2O[C;H2,H3]"
ALERT_PAINS_c_thio_amide_F,acC(=S)[NH][NH]ca
ALERT_PAINS_c_thio_carbam_A,"[C;H2,H3]SC(=S)[NH][CH2]cc"
ALERT_PAINS_c_thio_carbam_ene,C1[CX4]SC(NC=1)=S
ALERT_PAINS_c_thio_carbonate_B,"O=c2sc1cccc(O[C;H2,H3])c1o2"
ALERT_PAINS_c_thio_cyano_A,[NH]1C(=S)[CH](C#N)[CH](cc)[CH]=C1cc
ALERT_PAINS_c_thio_ene_amine_A,"S=CC([C;H2,H3])=C([C;H2,H3])N([C;H2,H3])[C;H2,H3]"
ALERT_PAINS_c_thio_est_cyano_A,C1=CN(C(c2ccccc12)(C#N)C(=S)S)C=O
ALERT_PAINS_c_thio_ester_A,c1c(sc(cc1)=S)[#7]
ALERT_PAINS_c_thio_ester_B,"ccC(=[SX1])[SX2][C;H,H2][CH2,CH3,$(cc)]"
ALERT_PAINS_c_thio_ester_C,n1c(=O)[cH]c([#6])sc1=S
ALERT_PAINS_c_thio_imide_A,c1ccccc1N3C(=O)C(Sc2ccccc2)=[CH]C(=O)3
ALERT_PAINS_c_thio_imine_ium,"[CX4][N+]([CX4][OH])=CS[C;H,H2,H3]"
ALERT_PAINS_c_thio_keto_het,S=Cc2n1ccccc1cc2
ALERT_PAINS_c_thio_pyridine_A,c2(nanc(c1o[cH][cH][cH]1)n2)S[CX4]
ALERT_PAINS_c_thio_thiomorph_Z,"C(=O)(N1CCSCC1)c2c([cH][cH][cH][cH]2)S[C;H2,H3]"
ALERT_PAINS_c_thio_urea_A,"c2c([NH]C(=S)[NH][CH2][CH2][CH2]N([C;H2,H3])c1ccccc1)cccc2"
ALERT_PAINS_c_thio_urea_B,"c2c([NH]C(=S)[NH][CH2][CH2]N([C;H2,H3])c1ccccc1)cccc2"
ALERT_PAINS_c_thio_urea_C,c1(ccccc1)[NH]C(=S)N[NH]C(=O)c2a[!#6]cc2
ALERT_PAINS_c_thio_urea_D,c1(ccccc1)[NH]C(=S)N[NH]c2ccccc2
ALERT_PAINS_c_thio_urea_F,C1[NH][NH]C(=S)N[NH]1
ALERT_PAINS_c_thio_urea_G,"c1(ccccc1)[NH]C(=S)N[NH][#6](=,:[#7;R])[#7;R]"
ALERT_PAINS_c_thio_urea_I,c1(ccccc1)[NH]C(=S)[NH]N=Cc2ccnc2
ALERT_PAINS_c_thio_urea_J,"c1(ccoc1[C;H,H2,H3])C=N[NH]C(=S)[N;H,H2]"
ALERT_PAINS_c_thio_urea_K,c2(=S)n1ccnnc1n[nH]2
ALERT_PAINS_c_thio_urea_L,[CX4][SX2]C(=N-aaaa)[NH]N=C
ALERT_PAINS_c_thio_urea_M,"ccN([C;H2,H3])[CH2][CH2][CH2][NH]C(=S)[NH]c1c([F,Cl,Br,I])[cH]c([C;H2,H3])[cH][cH]1"
ALERT_PAINS_c_thio_urea_O,"[cH]3c([NH]C(=S)[NH][C;H,H2]c1oc([C;H,H2,H3])[cH][cH]1)[cH]c2c(O[CH2]O2)[cH]3"
ALERT_PAINS_c_thio_urea_P,O=C-!@n2ccc1c2[nH]c(=S)[nH]1
ALERT_PAINS_c_thio_urea_Q,"c12c([cH][cH][cH][cH]1)c([cH][cH][cH]2)C([C;H2,H3])=N[NH]C(=S)[NH]ccc"
ALERT_PAINS_c_thio_urea_R,"c1(ccccc1)[#7;H][#6](=S)[#7][#7;H][#6;H]=,:[#6;H][#6]=O"
ALERT_PAINS_c_thiophene_C,"[C;H2,H3]N([C;H2,H3])[CH]=CC(=O)c1c([SX2])sc([$(C#N),$(C=O)])c1"
ALERT_PAINS_c_thiophene_D,"s1[cH][cH]c(O[C;H2,H3])c1C(=O)[NH][N;H,H2]"
ALERT_PAINS_c_thiophene_E,"c1(s[cH,$(c[C;H2,H3])][cH][cH]1)[CH,$(C[C;H2,H3])]C(=O)[NH]c2nccs2"
ALERT_PAINS_c_thiophene_amino_E,c1csc(c1[NH2])[CH]=[CH]c2cccs2
ALERT_PAINS_c_thiophene_amino_F,[NH2]c3sc([NH]C(=O)c1ccccc1)c(C#N)c3c2aaaaa2
